,Symbol,Date,Close,High,Low,Open,Volume,engulfing,hammer,inverse_hammer,piercing,morning_star,3adv_white_soldiers,hanging_man,shooting_star,evening_star,evening_doji_star,three_black_crows,dark_cloud_cover,doji,spinning_top,rising_falling_three_methods,Adj Close
339,AKAM,1/17/2025,91.01000214,92.55000305,90.95999908,91.72000122,2346400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
1087,AMAT,1/17/2025,192.0500031,193.1600037,188.7899933,193,8102100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
135,AMD,1/17/2025,121.4599991,122.7399979,120.5500031,120.7799988,35582500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
849,AMP,1/17/2025,552.1900024,552.3400269,544.1699829,549.5499878,941600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1529,AVB,1/17/2025,218.1399994,218.8399963,217.25,218.3699951,553900,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
2498,BAM,1/17/2025,55.56999969,55.90000153,55.20000076,55.24000168,550000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2515,BN,1/17/2025,58.18000031,58.56999969,57.88000107,57.97000122,1406600,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2736,CAN,1/17/2025,2.00999999,2.256999969,1.995000005,2.059999943,27102900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
3042,CBRE,1/17/2025,136.9100037,137.25,134.4100037,135.7100067,2146100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3263,CHKP,1/17/2025,187.8699951,189.1499939,185.0200043,188.75,664900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3246,CHTR,1/17/2025,351.3699951,353.5899963,347.6900024,352.8200073,1206900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3960,CRBG,1/17/2025,31.95000076,32.36000061,31.80500031,31.84000015,6054200,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4147,CRWD,1/17/2025,357,370.9500122,349.5499878,370.1400146,4915500,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
4266,CYBR,1/17/2025,352.2200012,363,351.9100037,361.8299866,534300,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
4776,DASH,1/17/2025,174.4799957,174.7100067,172.5200043,174.3699951,3653900,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
4708,DG,1/17/2025,68.44000244,70,68.09999847,69.51999664,3381000,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
4334,DHR,1/17/2025,238.3600006,243.0500031,238.1699982,242.1699982,3044800,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
4759,DPZ,1/17/2025,427.3500061,428,420.4100037,424.1600037,526600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
5031,ECL,1/17/2025,237.4199982,241.8500061,237.4100037,240.5899963,2312500,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
5677,EXC,1/17/2025,39.41999817,39.65999985,39.18999863,39.59999847,6140500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
5711,EXPE,1/17/2025,187.2799988,191.1100006,185.6600037,190,1909800,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
5762,EXR,1/17/2025,150.6000061,152.6100006,150.5899963,152.5399933,1183700,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
5898,FERG,1/17/2025,177.5500031,180.3200073,177.3500061,177.9799957,1447500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
13956,FTI,1/17/2025,32.56999969,33.27000046,32.49000168,32.65000153,2897400,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
6510,GIL,1/17/2025,49.75,49.81000137,49.38000107,49.59000015,364500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
10267,GLD,1/17/2025,249.2700043,250.8099976,249.1499939,249.6999969,8284200,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
6731,GSK,1/17/2025,33.43000031,33.59999847,33.25,33.59999847,3930400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6935,HKHHY,1/17/2025,29.47999954,29.51000023,28.90999985,29.45299911,120800,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
7139,HMC,1/17/2025,28.23999977,28.32999992,28.14999962,28.17000008,852600,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
7292,HUBB,1/17/2025,437.3800049,438.75,432.0799866,438.75,375904,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
7666,ICE,1/17/2025,149.1100006,151.0700073,148.9400024,150.8800049,3302000,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
7683,IHG,1/17/2025,126.8199997,127.8600006,126.5699997,126.7399979,159500,0,0,0,0,0,0,0,-100,0,0,0,0,100,100,0,
12630,IOT,1/17/2025,46.86999893,46.86999893,45.45000076,46.20000076,2292500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
7785,ISRG,1/17/2025,592.6400146,597.6799927,583.2399902,597.6799927,2630200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8601,KYOCY,1/17/2025,10.35999966,10.35999966,10.26000023,10.35999966,34100,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
8890,LYG,1/17/2025,2.849999905,2.890000105,2.839999914,2.839999914,23812300,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
14840,MOH,1/17/2025,286.2099915,286.8699951,280,283.1400146,838500,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
9570,MU,1/17/2025,105.75,105.8799973,102.5,104.6399994,18842500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
9995,NDAQ,1/17/2025,78.83000183,79.37000275,78.76000214,79,2714700,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
934,NGLOY,1/17/2025,15.53999996,15.80000019,15.42000008,15.43999958,176800,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
10454,NHYDY,1/17/2025,5.96999979,6.019999981,5.929999828,5.929999828,103100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
10624,NVT,1/17/2025,72.31999969,72.44000244,71.09999847,72.30000305,1307300,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
10726,OKTA,1/17/2025,87.29000092,87.48999786,85.89700317,87.37999725,3365600,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
11185,PAG,1/17/2025,160.5,160.8899994,159.4700012,160.8000031,219300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11117,PAYC,1/17/2025,209.1799927,210.4400024,206.0399933,210.4400024,544300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11559,PCOR,1/17/2025,76.98000336,79.17500305,76.94999695,79.11000061,854600,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
11610,PLD,1/17/2025,109.4800034,111.6100006,109.4199982,111.1999969,5270200,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
3229,SCHW,1/17/2025,76.41000366,76.55999756,75.11000061,75.76999664,12277400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
12987,SIEGY,1/17/2025,103.1500015,103.5699997,102.8700027,102.8899994,89000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
1188,SMFG,1/17/2025,14.68999958,14.72000027,14.60999966,14.69999981,974100,0,100,0,0,0,0,0,0,0,0,0,0,100,-100,0,
13718,SNPS,1/17/2025,526.7000122,529.9500122,523.8800049,529.2299805,1240500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13242,SOLV,1/17/2025,73.51000214,73.66999817,71.94999695,73.09999847,1514800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13531,SSUMY,1/17/2025,20.72999954,21.11000061,20.67000008,20.67000008,62600,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
13463,STLD,1/17/2025,125.8300018,127.7099991,125.5599976,125.9700012,1359800,0,0,0,0,0,0,0,-100,0,0,0,0,100,-100,0,
13565,SUTNY,1/17/2025,4.809999943,4.829999924,4.800000191,4.800000191,84100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
13021,SWKS,1/17/2025,93.63999939,94.44000244,92.05000305,92.62000275,2145600,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,
14755,TKGBY,1/17/2025,3.640000105,3.789999962,3.640000105,3.650000095,7400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
13769,TMUS,1/17/2025,218.9700012,219.5,217.6399994,219.2100067,4224600,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
13803,TTWO,1/17/2025,186.4100037,186.9499969,184.8200073,186.9499969,1443700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15027,URI,1/17/2025,771,779.4199829,762.5100098,763.789978,897100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
15248,VEOEY,1/17/2025,14.07999992,14.19999981,14.06000042,14.06000042,129000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
15231,VTR,1/17/2025,58.90000153,58.99000168,58.34999847,58.68000031,2972900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15605,WCN,1/17/2025,178.2400055,179.7700043,178.2400055,178.9700012,659400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
13173,WMMVY,1/17/2025,25.90999985,26.69000053,25.79000092,26.11000061,104300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
15,ABBNY,1/16/2025,54.40000153,54.52999878,54.18000031,54.47000122,142600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
12153,ADM,1/16/2025,51.00999832,51.18000031,50.36000061,51.09000015,2051200,0,100,0,0,0,0,0,0,0,0,0,0,100,-100,0,
1511,ALB,1/16/2025,94.31999969,94.84999847,92.87999725,94.68000031,2082700,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
474,ANCTF,1/16/2025,52.91999817,53.09000015,52.86000061,52.88299942,41500,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
1018,ANZGY,1/16/2025,18.60000038,18.63999939,18.35000038,18.5,78400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
2310,APP,1/16/2025,332.0100098,343.1799927,331.6700134,333.730011,2496200,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,
2174,AZO,1/16/2025,3193.959961,3217.330078,3162,3212.75,110100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
1681,BBAR,1/16/2025,22.71999931,23.46999931,22.51000023,23.45000076,602400,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
1970,BBSEY,1/16/2025,6.400000095,6.400000095,6.139999866,6.28000021,80200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
2140,BDRX,1/16/2025,4.340000153,4.349999905,4.269999981,4.309999943,9300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3245,BHKLY,1/16/2025,62.47000122,62.68999863,62.47000122,62.5,11400,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,
1749,BMA,1/16/2025,111.6299973,115.0100021,110.5800018,115.0100021,361300,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
2735,BMRN,1/16/2025,61.25,61.84999847,60.63000107,61.84999847,2912300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
1766,BSBR,1/16/2025,4.210000038,4.21999979,4.150000095,4.210000038,493800,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
3840,CAG,1/16/2025,25.79000092,25.81999969,25.35000038,25.42000008,4999600,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
2684,CAN,1/16/2025,1.899999976,1.934999943,1.840000033,1.919999957,9697400,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
3177,CF,1/16/2025,97.25,98.25,96.54000092,96.61000061,1760900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2888,CG,1/16/2025,54.27000046,54.77000046,53.88000107,54,2423100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
3908,CHTR,1/16/2025,346.6799927,349.7799988,346.2099915,346.6600037,747900,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,
3058,CLS,1/16/2025,110.7200012,115.5199966,109.8199997,109.8300018,3476900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4809,CPT,1/16/2025,112.6500015,112.7099991,110.8099976,112.1999969,973000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
4112,CRDO,1/16/2025,75.59999847,78.45999908,75.27999878,76.71399689,4018800,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
5455,CTTAY,1/16/2025,6.769999981,6.820000172,6.760000229,6.769999981,69300,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,
10181,DHI,1/16/2025,146.6000061,146.6699982,143.2899933,145.4100037,3468000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
5251,EDU,1/16/2025,59.20000076,59.22000122,58.02000046,58.93999863,1694300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
6679,ENB,1/16/2025,44.02999878,44.20999908,43.63000107,44.15999985,4936700,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
5370,EOG,1/16/2025,137.0749969,137.2040685,135.2380569,135.3174937,2730500,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,
8600,EQNR,1/16/2025,25.05999947,25.20000076,24.98999977,25.02000046,3678900,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,
5115,ESTC,1/16/2025,99.97000122,100.3600006,97.63999939,98.27999878,1546800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
6135,FTV,1/16/2025,78.69999695,78.70999908,77.95999908,78.5,2363400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
6271,FUTU,1/16/2025,80.40000153,80.63500214,78.58000183,80.34999847,1259600,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
6713,GBTC,1/16/2025,79.55999756,79.79000092,77.09999847,78.73000336,2910100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
3976,GLW,1/16/2025,49.24000168,49.31000137,48.79999924,49.09000015,2983600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
11490,GMBXF,1/16/2025,4.980000019,4.980000019,4.929999828,4.960000038,3300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
7138,HGKGY,1/16/2025,6.53000021,6.53000021,6.489999771,6.510000229,3100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
10283,HMC,1/16/2025,27.96999931,28,27.77000046,27.89999962,1130600,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
6815,HSNGY,1/16/2025,11.96000004,12.02000046,11.93000031,11.93000031,12500,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
6832,HVRRY,1/16/2025,43.43999863,43.88999939,43.25,43.25,4500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
7716,IFF,1/16/2025,84.44000244,84.51000214,83.83000183,84.22000122,1238800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
7495,IMO,1/16/2025,68.65000153,68.83000183,67.16999817,68.69000244,815300,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
7750,IPG,1/16/2025,27.88999939,28.11000061,27.76000023,27.79999924,4294700,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
7869,IRS,1/16/2025,15.18999958,15.84000015,15.10000038,15.76000023,126700,-100,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,
7784,ISRG,1/16/2025,584.0800171,585.5,573,582.5999756,2119400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
8396,KGC,1/16/2025,10.22999954,10.75,10.21000004,10.72000027,24888600,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
8345,KMB,1/16/2025,126.6500015,126.8300018,125.0199966,125.3399963,2090400,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
3687,KO,1/16/2025,62.25,62.29999924,61.31999969,61.41999817,12585500,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
10215,KYOCY,1/16/2025,10.25,10.31999969,10.25,10.26000023,48400,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,
8787,LNVGY,1/16/2025,23.79000092,23.85000038,23.70000076,23.79000092,127400,0,0,0,0,0,0,-100,-100,0,0,0,0,100,100,0,
9841,MCO,1/16/2025,479,479.6700134,466.8399963,474.2799988,557100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
10045,NABZY,1/16/2025,11.98999977,12.35999966,11.57999992,12.30000019,226700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
10011,NKE,1/16/2025,71.11000061,71.23000336,70.31999969,70.90000153,13694600,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
13411,NPSNY,1/16/2025,38.91999817,39.02000046,38.56000137,38.81000137,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
10606,NTNX,1/16/2025,66.55000305,67.23000336,65.94999695,65.94999695,1949900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
14550,NWSA,1/16/2025,27.5,27.79999924,27.45999908,27.52000046,1595000,0,0,100,0,0,0,0,0,0,0,0,0,100,-100,0,
2293,OWL,1/16/2025,23.39999962,23.78000069,23.11000061,23.14999962,12672500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11133,PCTY,1/16/2025,199.3000031,203.2799988,197.2799988,197.6600037,567900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
11286,PFE,1/16/2025,26.48999977,26.56999969,25.95999908,26.06999969,29981100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
11762,PSTG,1/16/2025,65.41999817,67.22699738,65.27999878,65.27999878,2607600,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,
4349,REPYY,1/16/2025,12.03999996,12.05000019,11.93000031,12.02000046,169200,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,
12408,RYCEY,1/16/2025,7.070000172,7.079999924,6.980000019,7.03000021,4620500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
13105,SDXAY,1/16/2025,14.39999962,14.5,14.30000019,14.31000042,95200,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
7937,SJM,1/16/2025,102.5400009,102.6600037,99.80999756,100,820500,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
13462,SNAP,1/16/2025,11.22000027,11.64999962,11.17000008,11.38000011,37764000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
,SSUMY,1/16/2025,20.62000084,20.65999985,20.54999924,20.62000084,84200,0,100,100,0,0,0,0,0,0,0,0,0,100,100,0,
14329,STLD,1/16/2025,125,125.6900024,124.3199997,124.5100021,875200,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
13649,SU,1/16/2025,39.06999969,40.00999832,38.88000107,39.88000107,6958600,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
14499,SWK,1/16/2025,83.97000122,84.12000275,82.23999786,83.19000244,853100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
14091,TLGPY,1/16/2025,12.56999969,12.89999962,12.44999981,12.77999973,66700,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
4179,TM,1/16/2025,181.4799957,182.3500061,181.25,181.5200043,422400,0,0,100,0,0,0,0,0,0,0,0,0,100,-100,0,
13768,TMUS,1/16/2025,215.75,216.7400055,213.3899994,213.3899994,2411200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,
5165,TOL,1/16/2025,134.3099976,134.3500061,131.8099976,133.4799957,1152700,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
13972,TTNDY,1/16/2025,65.83999634,66.12999725,65.73000336,65.73000336,182700,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4315,TXRH,1/16/2025,178.3200073,180.7599945,178.0299988,179.1399994,648000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
14822,UBER,1/16/2025,68.58000183,69.58000183,67.63999939,67.75,29013100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
1459,ADSK,1/15/2025,290.9400024,296.1900024,290.7399902,293.4700012,1554000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
252,AEM,1/15/2025,84.33999634,85.13999939,82.98999786,85,1204700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1357,AIZ,1/15/2025,209.0200043,209.25,206.9700012,208.0700073,264300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1289,AJG,1/15/2025,290.1900024,292,287.7600098,292,1869200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1374,ALAB,1/15/2025,131.7700043,135.8099976,131.2310028,132.6000061,3254400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
456,ALGN,1/15/2025,215.7799988,218.9700012,214.4499969,214.5500031,469500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
694,AMX,1/15/2025,14.03999996,14.10000038,13.90999985,14.06999969,1909700,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
592,AMZN,1/15/2025,223.3500061,223.5700073,220.75,222.8300018,31291300,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1204,ARCC,1/15/2025,22.65999985,22.68000031,22.37999916,22.57999992,4083500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1612,BAESY,1/15/2025,58.74000168,58.74000168,57.95999908,58.43000031,143000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1629,BIDU,1/15/2025,81.5,81.61000061,79.94000244,81.18000031,2745000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
2224,BIRK,1/15/2025,58.13000107,58.25,57.20000076,57.84999847,845200,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
2513,BN,1/15/2025,56.90000153,57.58000183,56.79000092,57.22000122,2724400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2853,CAH,1/15/2025,124.7099991,124.7799988,122.4899979,124.3899994,2144100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
2649,CDNS,1/15/2025,300.7200012,304,300.3500061,301.8800049,1819900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
3414,CHD,1/15/2025,103.4400024,105.5699997,102.2799988,105.5699997,1548600,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
3363,CMG,1/15/2025,57.36999893,57.63000107,56.84999847,57.52999878,10492500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
12747,CSDX,1/15/2025,0.704999983,1.179999948,0.702000022,0.702000022,1461,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,
3482,CTAS,1/15/2025,195.6999969,196.0500031,194,194.8600006,1466800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3720,CTSH,1/15/2025,77.77999878,78.13999939,76.93000031,78.01000214,2119400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3907,CTTAY,1/15/2025,6.809999943,6.880000114,6.800000191,6.840000153,53100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4247,CVS,1/15/2025,52.13999939,52.27999878,51.41999817,51.81000137,10969700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
12883,DANOY,1/15/2025,13.19999981,13.27000046,13.13000011,13.23999977,533900,0,100,0,0,0,0,-100,0,0,0,0,0,100,0,0,
4400,DDOG,1/15/2025,140.9499969,144.4799957,140.7299957,142.0599976,3441200,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4842,DKNG,1/15/2025,38.72000122,41.75500107,38.61000061,41,15576000,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
4638,DKS,1/15/2025,226.5099945,228.3200073,224.7700043,225.4499969,1488800,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
643,DOX,1/15/2025,84.26000214,84.61000061,83.80000305,84.61000061,335800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
7324,DSEEY,1/15/2025,6.349999905,6.639999866,6.260000229,6.260000229,27700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
4298,DTRUY,1/15/2025,19.94000053,20.04000092,19.80999947,20.04000092,20400,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
4876,DUK,1/15/2025,106.4499969,108.0999985,106.3499985,108.0999985,3791800,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
4417,DVA,1/15/2025,162.3600006,163.3000031,160.8399963,163.3000031,478600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
5301,E,1/15/2025,28.86000061,28.87999916,28.62000084,28.82999992,444200,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
3142,EBR,1/15/2025,5.869999886,5.869999886,5.710000038,5.840000153,1268100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
